družina
jezik
ponavadi
rojena
tu
včasih
uteži
želodec
zob
dokler
miti
red
boleti
bol
naročilo
tale
naročiti
kak
odličen
resa
res
zgoditi
čakati
mena
paradižnik
česen
zavarovanje
ma
dodatek
želeti
lešnik
teg
operirati
pojesti
zdrav
pomagati
oprostiti
praviti
pol
računica
normalen
najprej
kolik
koliko
kolika
probati
bolečina
muca
muc
pacient
jarec
spustiti
zdravstveno
zdravstven
kolega
menza
peti
jasno
jasen
nek
meniti
prej
predstavljati
din
dejati
skrb
sejati
seja
noter
misel
biliti
plačati
klizma
krizma
veti
nenaden
bruhati
joška
poklicati
vesa
zadeva
vamp
roba
noben
stati
pravi
trebati
reklo
drobljenje
prijeti
moči
odpreti
ambulanta
čist
slepič
piš
železniški
mana
sestra
sekirati
krota
morala
izvoliti
počakati
peta
splačati
zatajiti
takle
takole
hala
bolnica
svojiti
kazati
zrihtati
pljučnica
četi
škoditi
način
dvojen
škoda
zdeti
nor
izgledati
normalno
veleti
dobrodošel
mogoč
dermatolog
bolezen
zdraviti
operacija
nositi
pripraviti
zaključiti
mil
kmalu
kirurg
sprostiti
posloven
poteči
potekel
veden
vedno
znova
kolegica
stanje
finančen
letati
minus
zaenkrat
speti
peljati
rob
stan
paziti
poskrbeti
dneven
poiti
pošel
pipec
pipca
gasilo
gasiti
star
popiti
držati
raje
navezati
višek
avtomatski
odzivnik
volja
leten
mašina
zafrkavati
klicati
drag
notri
veslo
tip
generalka
zrak
ponuditi
zmeriti
sočen
vizita
končati
neki
silen
naslovnik
itak
jur
boja
šansa
ha
izvid
slikati
slika
nada
upati
vele
pička
kirurški
počistiti
slatki
poskusiti
načelo
preveliko
izvedeti
sklistirati
okej
spraševati
upravičeno
upravičen
srečati
naloga
nalog
raditi
pregled
pripravljen
slovensko
naučiti
operacijski
operacijsko
čim
ambasada
razum
izgled
preiti
prešel
pregrinjati
pregrinjalo
poslušati
teta
zvezda
koščev
šampinjon
pinjola
nariban
zatrjevati
čutenje
čutiti
moment
veseliti
rektalen
rektalno
dihati
vajen
primarij
anesteziolog
driska
razlet
razleteti
načelno
načelen
izbran
važen
žal
finančno
katastrofalen
katastrofalno
šparati
črtalo
črtati
palička
grlo
pregledati
posojati
nadati
medicinski
dotikati
omejiti
uporaba
pisarniški
pravilen
pravilno
današnji
zapirati
črta
obrati
obrat
promet
zaposlen
klobasa
točiti
skušati
lih
izločati
tretjič
opravičevati
spet
zamuditi
vrtec
začeti
jokati
mit
pika
pik
pikati
staniti
paden
ata
jar
prehrana
sendvič
krušen
zraven
jabka
rodilo
sponzor
mikrovalovka
postaviti
motiti
konzerva
eh
suv
golaž
bočno
bočen
kocka
žariti
zamujati
zgoda
stikati
kam
kama
league
gaziti
recepcija
umakniti
vodovoden
požar
travica
zalivati
kad
prijateljček
preparat
preparati
krasen
dnevno
požirek
razpaliti
skrčiti
razturiti
kanader
naenkrat
drža
bratec
stariti
stareti
šefica
piča
crkniti
razmišljati
stik
sidro
luknja
ljub
temeljit
temeljito
odpikati
tehnološki
regres
poznati
maja
maj
hecno
hecen
zvočnik
sprej
sprejem
glasen
glasno
telefonsko
številka
srednji
srednje
dostavljen
časov
čistiti
čistilo
isti
južen
južno
zmešati
jela
jeti
značiti
zmeniti
preveriti
zajebavati
zdravje
bod
bosti
hecati
parkiran
nega
obrniti
tipati
tipo
središče
olje
kompleten
hej
popravilo
popraviti
domov
treniti
tren
tleti
oblečiti
obleči
pripravljati
potreba
pogovarjati
zapor
pomota
resnica
zapreti
zapretiti
tle
gnjaviti
poldne
poldan
holesterol
močen
simpatičen
predavati
zdravnik
urgentno
urgenten
predelati
varnostnik
izplačati
stres
nekje
zmotiti
strinjati
dokumentiran
magneten
kasetofon
organiziran
trak
dostaviti
izstavljen
točno
točen
prevzeti
kregati
računati
strgalo
strgati
nesramnost
tele
smisel
dolžen
živec
tek
razen
poslati
knjižnica
skočiti
zmazati
oveti
obnašati
noreti
izjaviti
ogled
totalen
obnova
težkati
komunikacija
veterinar
krven
biokemija
povsem
pankreatitis
infarkt
negativen
enka
prazen
prazno
ultra
zvok
gripa
ptič
zakuhati
korak
napis
disciplina
zavreči
prisiljen
uživati
usnjen
škorenj
bič
lenoba
pošteno
pošten
kirurško
visok
visoko
erotičen
fantazija
zastrašiti
malce
malca
organizirati
čokoladka
raj
raja
slana
slan
gabiti
tule
tul
poskus
kino
izdajati
postati
stvariti
mešati
pravilo
drugačen
toksičnost
doktorica
načeti
ženirati
grabiti
cilj
koza
fantastično
fantastičen
razmisliti
počelo
početi
končan
sekundarij
omeniti
posebej
privlačiti
bolan
prebolel
preboleti
srbeti
izvesti
moča
močiti
moč
boj
bati
n
utreti
znotraj
buhati
napeti
napet
bolnik
precej
koda
reševalen
pomotoma
izreči
vredno
vreden
manj
načeloma
opravek
zaupati
konvencija
zaračunati
ugotoviti
gotov
gotovo
preverjati
veljaven
veljavno
izkaznica
naresti
kritje
izguba
živeti
energija
kartati
tolik
slučajno
slučajen
skristalizirati
povabiti
divje
lupati
lupa
mačji
karate
jebati
optimizem
vnetje
vneti
vnet
akuten
keš
telefonirati
odpet
kašča
sigurno
siguren
fakulteta
fant
ratati
ministrica
doktorček
rabiti
odgovoren
marka
predebel
naokrog
naročevati
dobriti
lit
opozoriti
svojec
lešnikov
pojem
petje
hrom
hromo
ujeti
dama
preprečiti
čez
tolmačica
uvod
uvodoma
predstaviti
sporazumeti
razjesti
razjeda
profesionalno
profesionalen
lepeti
lepiti
šiv
zanimati
počutiti
držalo
glavobol
zamisliti
zamisel
pomen
ponesrečiti
zaklati
pozdravljati
tožiti
kolobocija
sploh
zgoraj
proba
ukiniti
t
tajnica
origano
trajen
nikdar
bolnišnica
krom
vesti
riban
pogreti
pipica
zmeraj
štiristo
zdajle
nagovarjati
perfekten
perfektno
košček
srečka
sprožilo
net
tolerirati
vsaj
skratka
bon
uvesti
nekajkrat
umit
umiti
stoja
razgovarjati
pad
pasti
sendviček
polje
moto
soben
obrok
dohtar
urgenca
politika
razpadel
razpasti
skor
razturati
dinarček
prekleti
preklet
hec
paradajz
južina
priskrbeti
reja
skakati
niz
priprava
izsiljevati
greda
jarček
napaka
zamešati
pridih
jedilo
dvoj
joškati
jošek
pogret
spodnji
stenski
rentgen
ptičji
duhovno
duhoven
škrtati
mečkati
prestaviti
prevzgojiti
zapraviti
goniti
žuljiti
žulj
stopa
stop
prestrašiti
legalen
seksati
pomirilo
pomiriti
sranje
iskren
iskreno
fino
fin
neverjetno
neverjeten
čudo
čud
postan
ziher
zagrabiti
absoluten
absolutno
kožen
zel
zlo
očitno
očiten
pritegniti
ambulantno
ambulanten
zatresti
prejeti
sproščati
potrebno
potreben
klik
klika
zbiti
zdravilo
okrepiti
zvoniti
lepota
pregrada
poga
huh
okel
neto
ako
iboga
avans
nakazati
boa
menedžer
neodgovoren
pizda
majoneza
zgledati
zgled
presedlati
mitski
mitsko
uraden
prevajalka
odhajati
hvaležen
doživeti
skrinjica
priznati
stol
sprečiti
leča
lečiti
leči
izboljšati
vrten
prijateljica
različica
živ
prašiti
citirati
kričati
kufer
zagravžati
prijemati
prašati
nesreča
goški
potov
poto
koštati
razgledati
šapa
nabiti
teči
nujno
nujen
verjeti
del
delo
inšpektor
fotka
ful
firma
padel
sled
kava
revizija
podjetje
zanimiv
vena
ven
maraton
ustaviti
poročiti
poročilo
par
para
voditi
obvezen
zame
igrati
osnoven
zadnjič
lušten
podatek
nasvidenje
plavati
samomor
terapija
pomeniti
nadaljevati
klošar
livada
forenzika
forenzik
sumljiv
slediti
izgubiti
naključje
razred
posel
sreda
sredi
urediti
obvezno
povabilo
sestanek
vpleten
šah
poteza
zahtevati
partija
dvigniti
dogodek
čao
skoz
jest
dobivati
dosti
zemljišče
zanimivo
zaslužiti
božanski
gospodična
mami
mamiti
čevelj
sveča
koma
plan
svečka
sošolec
pomemben
pust
svinjarija
stran
takšen
umreti
umrl
plavalec
neumnost
potegniti
nazadnje
preiskovati
preiskava
končno
končen
kul
možgani
revizor
multinacionalka
največ
strast
otroštvo
astma
ovira
ovirati
premagati
dosezati
doseči
srajca
napiti
nota
zaslišanje
sklepati
sklep
slučaj
pogost
pogosto
pozen
pozno
dežuren
pametnjakovič
iskanje
videz
zabrisan
raziskovati
truplo
vsota
slej
razkriti
natančen
muditi
spiti
malati
četrti
sedmi
